observer,cd,targ_side,bk,t,rt,acc
d6,brief,heterogeneous,block 1,58,0.972,0
d6,brief,absent,block 1,59,1.321,1
d6,brief,absent,block 1,60,0.801,1
d6,brief,absent,block 1,61,0.802,1
d6,brief,absent,block 1,62,0.651,1
d6,brief,absent,block 1,63,0.921,1
d6,brief,homogeneous,block 1,64,0.581,1
d6,brief,heterogeneous,block 1,65,0.792,0
d6,brief,absent,block 1,66,0.881,1
d6,brief,absent,block 1,67,0.811,1
d6,brief,absent,block 1,68,0.682,1
d6,brief,heterogeneous,block 1,69,1.001,0
d6,brief,heterogeneous,block 1,70,0.781,0
d6,brief,absent,block 1,71,1.482,1
d6,brief,absent,block 1,72,1.082,1
d6,brief,homogeneous,block 1,73,0.731,1
d6,brief,homogeneous,block 1,74,0.941,1
d6,brief,absent,block 1,75,0.912,1
d6,brief,homogeneous,block 1,76,1.342,1
d6,brief,homogeneous,block 1,77,0.542,1
d6,brief,heterogeneous,block 1,78,0.651,0
d6,brief,absent,block 1,79,1.502,1
d6,brief,heterogeneous,block 1,80,1.111,0
d6,brief,absent,block 1,81,1.141,1
d6,brief,heterogeneous,block 1,82,0.732,0
d6,brief,absent,block 1,83,1.102,1
d6,brief,absent,block 1,84,0.881,1
d6,brief,absent,block 1,85,0.891,1
d6,brief,absent,block 1,86,0.571,1
d6,brief,absent,block 1,87,0.682,1
d6,brief,absent,block 1,88,0.651,1
d6,brief,homogeneous,block 1,89,0.631,1
d6,brief,absent,block 1,90,0.762,1
d6,brief,homogeneous,block 1,91,0.711,1
d6,brief,homogeneous,block 1,92,0.641,1
d6,brief,heterogeneous,block 1,93,0.821,0
d6,brief,homogeneous,block 1,94,0.762,1
d6,brief,absent,block 1,95,1.131,1
d6,brief,heterogeneous,block 1,96,0.761,0
d6,long,homogeneous,block 2,97,1.081,1
d6,long,absent,block 2,98,8.692,1
d6,long,heterogeneous,block 2,99,7.652,0
d6,long,heterogeneous,block 2,100,9.963,0
d6,long,heterogeneous,block 2,101,13.463,1
d6,long,heterogeneous,block 2,102,20.083,1
d6,long,absent,block 2,103,22.923,1
d6,long,absent,block 2,104,4.942,0
d6,long,absent,block 2,105,24.223,1
d6,long,homogeneous,block 2,106,1.122,1
d6,long,heterogeneous,block 2,107,25.814,0
d6,long,absent,block 2,108,20.753,1
d6,long,absent,block 2,109,22.234,1
d6,long,homogeneous,block 2,110,0.801,1
d6,long,homogeneous,block 2,111,0.981,1
d6,long,absent,block 2,112,4.622,0
d6,long,heterogeneous,block 2,113,26.623,1
d6,long,absent,block 2,114,25.783,1
d6,long,absent,block 2,115,27.424,1
d6,long,heterogeneous,block 2,116,26.953,0
d6,long,absent,block 2,117,21.983,0
d6,long,homogeneous,block 2,118,1.211,1
d6,long,heterogeneous,block 2,119,26.113,1
d6,long,homogeneous,block 2,120,1.162,1
d6,long,heterogeneous,block 2,121,31.164,1
d6,long,absent,block 2,122,32.394,1
d6,long,homogeneous,block 2,123,0.841,1
d6,long,absent,block 2,124,27.644,1
d6,long,homogeneous,block 2,125,0.871,1
d6,long,heterogeneous,block 2,126,21.443,0
d6,long,absent,block 2,127,7.641,0
d6,long,absent,block 2,128,22.764,1
d6,long,homogeneous,block 2,129,0.851,1
d6,long,heterogeneous,block 2,130,11.022,1
d6,long,absent,block 2,131,19.983,1
d6,long,homogeneous,block 2,132,0.831,1
d6,long,homogeneous,block 2,133,0.822,1
d6,long,absent,block 2,134,15.543,1
d6,long,absent,block 2,135,14.193,1
d6,long,absent,block 2,136,16.842,1
d6,long,homogeneous,block 2,137,0.832,1
d6,long,absent,block 2,138,14.792,1
d6,long,heterogeneous,block 2,139,1.951,1
d6,long,homogeneous,block 2,140,0.852,1
d6,long,homogeneous,block 2,141,0.851,1
d6,long,homogeneous,block 2,142,0.661,1
d6,long,heterogeneous,block 2,143,9.572,1
d6,long,heterogeneous,block 2,144,2.422,1
d6,long,absent,block 2,145,6.732,1
d6,long,absent,block 2,146,7.601,1
d6,long,absent,block 2,147,9.983,1
d6,long,absent,block 2,148,11.703,1
d6,long,homogeneous,block 2,149,0.991,1
d6,long,absent,block 2,150,11.022,1
d6,long,absent,block 2,151,10.132,1
d6,long,absent,block 2,152,7.882,1
d6,long,absent,block 2,153,6.842,1
d6,long,heterogeneous,block 2,154,9.182,0
d6,long,absent,block 2,155,11.192,1
d6,long,absent,block 2,156,6.352,1
d6,long,absent,block 2,157,9.242,1
d6,long,absent,block 2,158,8.472,1
d6,long,absent,block 2,159,10.042,1
d6,long,homogeneous,block 2,160,0.701,1
d6,long,homogeneous,block 2,161,0.832,1
d6,long,homogeneous,block 2,162,0.571,1
d6,long,homogeneous,block 2,163,0.671,1
d6,long,heterogeneous,block 2,164,8.222,1
d6,long,heterogeneous,block 2,165,3.451,1
d6,long,heterogeneous,block 2,166,9.092,0
d6,long,absent,block 2,167,12.043,1
d6,long,absent,block 2,168,11.663,1
d6,long,absent,block 2,169,12.772,1
d6,long,absent,block 2,170,8.352,1
d6,long,heterogeneous,block 2,171,10.382,0
d6,long,absent,block 2,172,2.852,0
d6,long,absent,block 2,173,12.582,1
d6,long,absent,block 2,174,6.222,1
d6,long,heterogeneous,block 2,175,8.842,1
d6,long,absent,block 2,176,7.152,0
d6,long,absent,block 2,177,7.982,1
