observer,cd,bk,t,n,hetero_fix,ts
d1,brief,block 2,151,4,0,1.5625
d1,brief,block 2,151,5,1,1.5625
d1,brief,block 2,151,6,1,1.5625
d1,brief,block 2,152,2,0,1.5729166666666667
d1,brief,block 2,152,3,0,1.5729166666666667
d1,brief,block 2,152,4,1,1.5729166666666667
d1,brief,block 2,152,5,1,1.5729166666666667
d1,brief,block 2,152,6,0,1.5729166666666667
d1,brief,block 2,153,2,0,1.5833333333333333
d1,brief,block 2,153,3,1,1.5833333333333333
d1,brief,block 2,153,4,1,1.5833333333333333
d1,brief,block 2,153,5,1,1.5833333333333333
d1,brief,block 2,153,6,1,1.5833333333333333
d1,brief,block 2,154,2,1,1.59375
d1,brief,block 2,154,3,1,1.59375
d1,brief,block 2,154,4,1,1.59375
d1,brief,block 2,154,5,0,1.59375
d1,brief,block 2,154,6,0,1.59375
d1,brief,block 2,155,2,0,1.6041666666666667
d1,brief,block 2,155,3,0,1.6041666666666667
d1,brief,block 2,155,4,0,1.6041666666666667
d1,brief,block 2,156,2,0,1.6145833333333333
d1,brief,block 2,156,3,0,1.6145833333333333
d1,brief,block 2,156,4,1,1.6145833333333333
d1,brief,block 2,156,5,1,1.6145833333333333
d1,brief,block 2,156,6,1,1.6145833333333333
d1,brief,block 2,157,2,1,1.625
d1,brief,block 2,157,3,0,1.625
d1,brief,block 2,157,4,0,1.625
d1,brief,block 2,158,2,1,1.6354166666666667
d1,brief,block 2,158,3,0,1.6354166666666667
d1,brief,block 2,158,4,1,1.6354166666666667
d1,brief,block 2,158,5,1,1.6354166666666667
d1,brief,block 2,158,6,1,1.6354166666666667
d1,brief,block 2,159,2,1,1.6458333333333333
d1,brief,block 2,159,3,0,1.6458333333333333
d1,brief,block 2,159,4,0,1.6458333333333333
d1,brief,block 2,160,2,0,1.65625
d1,brief,block 2,160,3,1,1.65625
d1,brief,block 2,160,4,1,1.65625
d1,brief,block 2,160,5,1,1.65625
d1,brief,block 2,160,6,1,1.65625
d1,brief,block 2,161,2,1,1.6666666666666667
d1,brief,block 2,161,3,0,1.6666666666666667
d1,brief,block 2,161,4,0,1.6666666666666667
d1,brief,block 2,162,2,1,1.6770833333333333
d1,brief,block 2,162,3,0,1.6770833333333333
d1,brief,block 2,163,2,1,1.6875
d1,brief,block 2,163,3,0,1.6875
d1,brief,block 2,163,4,0,1.6875
d1,brief,block 2,163,5,0,1.6875
d1,brief,block 2,163,6,1,1.6875
d1,brief,block 2,164,2,0,1.6979166666666667
d1,brief,block 2,164,3,1,1.6979166666666667
d1,brief,block 2,164,4,1,1.6979166666666667
d1,brief,block 2,164,5,1,1.6979166666666667
d1,brief,block 2,164,6,1,1.6979166666666667
d1,brief,block 2,165,2,0,1.7083333333333333
d1,brief,block 2,165,3,0,1.7083333333333333
d1,brief,block 2,165,4,0,1.7083333333333333
d1,brief,block 2,165,5,0,1.7083333333333333
d1,brief,block 2,165,6,0,1.7083333333333333
d1,brief,block 2,166,2,1,1.71875
d1,brief,block 2,166,3,1,1.71875
d1,brief,block 2,166,4,1,1.71875
d1,brief,block 2,166,5,1,1.71875
d1,brief,block 2,166,6,1,1.71875
d1,brief,block 2,167,2,0,1.7291666666666667
d1,brief,block 2,167,3,0,1.7291666666666667
d1,brief,block 2,167,4,1,1.7291666666666667
d1,brief,block 2,167,5,1,1.7291666666666667
d1,brief,block 2,167,6,1,1.7291666666666667
d1,brief,block 2,168,2,1,1.7395833333333333
d1,brief,block 2,168,3,0,1.7395833333333333
d1,brief,block 2,168,4,0,1.7395833333333333
d1,brief,block 2,169,2,0,1.75
d1,brief,block 2,169,3,0,1.75
d1,brief,block 2,169,4,1,1.75
d1,brief,block 2,169,5,1,1.75
d1,brief,block 2,169,6,1,1.75
d1,brief,block 2,170,2,1,1.7604166666666667
d1,brief,block 2,170,3,0,1.7604166666666667
d1,brief,block 2,170,4,1,1.7604166666666667
d1,brief,block 2,170,5,1,1.7604166666666667
d1,brief,block 2,170,6,1,1.7604166666666667
d1,brief,block 2,171,2,0,1.7708333333333333
d1,brief,block 2,171,3,0,1.7708333333333333
d1,brief,block 2,171,4,0,1.7708333333333333
d1,brief,block 2,171,5,0,1.7708333333333333
d1,brief,block 2,171,6,1,1.7708333333333333
d1,brief,block 2,172,2,0,1.78125
d1,brief,block 2,172,3,1,1.78125
d1,brief,block 2,172,4,1,1.78125
d1,brief,block 2,172,5,1,1.78125
d1,brief,block 2,172,6,1,1.78125
d1,brief,block 2,173,2,0,1.7916666666666667
d1,brief,block 2,173,3,0,1.7916666666666667
d1,brief,block 2,173,4,0,1.7916666666666667
d1,brief,block 2,173,5,0,1.7916666666666667
d1,brief,block 2,173,6,0,1.7916666666666667
d1,brief,block 2,174,2,1,1.8020833333333333
d1,brief,block 2,174,3,0,1.8020833333333333
d1,brief,block 2,174,4,1,1.8020833333333333
d1,brief,block 2,174,5,1,1.8020833333333333
d1,brief,block 2,174,6,1,1.8020833333333333
d1,brief,block 2,175,2,0,1.8125
d1,brief,block 2,175,3,0,1.8125
d1,brief,block 2,175,4,0,1.8125
d1,brief,block 2,175,5,1,1.8125
d1,brief,block 2,175,6,0,1.8125
d1,brief,block 2,176,2,0,1.8229166666666667
d1,brief,block 2,176,3,0,1.8229166666666667
d1,brief,block 2,177,2,1,1.8333333333333333
d1,brief,block 2,177,3,0,1.8333333333333333
d1,brief,block 2,177,4,0,1.8333333333333333
d1,brief,block 2,177,5,1,1.8333333333333333
d1,brief,block 2,177,6,1,1.8333333333333333
d1,brief,block 2,178,2,0,1.84375
d1,brief,block 2,178,3,0,1.84375
d1,brief,block 2,178,4,0,1.84375
d1,brief,block 2,178,5,1,1.84375
d1,brief,block 2,178,6,1,1.84375
d1,brief,block 2,179,2,0,1.8541666666666667
d1,brief,block 2,179,3,0,1.8541666666666667
d1,brief,block 2,180,2,0,1.8645833333333333
d1,brief,block 2,180,3,0,1.8645833333333333
d1,brief,block 2,180,4,1,1.8645833333333333
d1,brief,block 2,180,5,1,1.8645833333333333
d1,brief,block 2,180,6,1,1.8645833333333333
d1,brief,block 2,181,2,0,1.875
d1,brief,block 2,181,3,0,1.875
d1,brief,block 2,182,2,1,1.8854166666666667
d1,brief,block 2,182,3,0,1.8854166666666667
d1,brief,block 2,182,4,0,1.8854166666666667
d1,brief,block 2,182,5,1,1.8854166666666667
d1,brief,block 2,182,6,1,1.8854166666666667
d1,brief,block 2,183,2,0,1.8958333333333333
d1,brief,block 2,184,2,0,1.90625
d1,brief,block 2,184,3,0,1.90625
d1,brief,block 2,184,4,0,1.90625
d1,brief,block 2,184,5,1,1.90625
d1,brief,block 2,184,6,0,1.90625
d1,brief,block 2,185,2,0,1.9166666666666667
d1,brief,block 2,185,3,1,1.9166666666666667
d1,brief,block 2,185,4,1,1.9166666666666667
d1,brief,block 2,185,5,1,1.9166666666666667
d1,brief,block 2,185,6,1,1.9166666666666667
d1,brief,block 2,186,2,1,1.9270833333333333
d1,brief,block 2,186,3,0,1.9270833333333333
d1,brief,block 2,186,4,0,1.9270833333333333
d1,brief,block 2,186,5,0,1.9270833333333333
d1,brief,block 2,186,6,1,1.9270833333333333
d1,brief,block 2,187,2,1,1.9375
d1,brief,block 2,187,3,1,1.9375
d1,brief,block 2,187,4,1,1.9375
d1,brief,block 2,187,5,1,1.9375
d1,brief,block 2,187,6,1,1.9375
d1,brief,block 2,188,2,1,1.9479166666666667
d1,brief,block 2,188,3,1,1.9479166666666667
d1,brief,block 2,188,4,1,1.9479166666666667
d1,brief,block 2,188,5,0,1.9479166666666667
d1,brief,block 2,188,6,0,1.9479166666666667
d1,brief,block 2,189,2,1,1.9583333333333333
d1,brief,block 2,189,3,1,1.9583333333333333
d1,brief,block 2,189,4,1,1.9583333333333333
d1,brief,block 2,189,5,1,1.9583333333333333
d1,brief,block 2,189,6,1,1.9583333333333333
d1,brief,block 2,190,2,1,1.96875
d1,brief,block 2,190,3,1,1.96875
d1,brief,block 2,190,4,1,1.96875
d1,brief,block 2,190,5,1,1.96875
d1,brief,block 2,190,6,0,1.96875
d1,brief,block 2,191,2,0,1.9791666666666667
