"subj","trialNum","fixNum","fixX","xFixFlip","targSide"
"602","1",76,1,957,3,"absent"
"603","1",76,2,1002,-42,"absent"
"604","1",76,3,688,272,"absent"
"605","1",76,4,985,-25,"absent"
"606","1",76,5,729,231,"absent"
"607","1",76,6,1113,-153,"absent"
"608","1",77,1,925,35," hard"
"609","1",77,2,946,14," hard"
"610","1",77,3,1029,-69," hard"
"611","1",78,1,940,-20,"absent"
"612","1",78,2,1033,73,"absent"
"613","1",78,3,596,-364,"absent"
"614","1",78,4,589,-371,"absent"
"615","1",78,5,845,-115,"absent"
"616","1",78,6,617,-343,"absent"
"617","1",79,1,951,9," easy"
"618","1",79,2,860,100," easy"
"619","1",79,3,859,101," easy"
"620","1",79,4,838,122," easy"
"621","1",80,1,949,-11," hard"
"622","1",80,2,889,-71," hard"
"623","1",80,3,779,-181," hard"
"624","1",81,1,947,-13,"absent"
"625","1",81,2,797,-163,"absent"
"626","1",81,3,795,-165,"absent"
"627","1",81,4,842,-118,"absent"
"628","1",81,5,646,-314,"absent"
"629","1",81,6,763,-197,"absent"
"630","1",81,7,631,-329,"absent"
"631","1",81,8,1101,141,"absent"
"632","1",81,9,1046,86,"absent"
"633","1",81,10,886,-74,"absent"
"634","1",81,11,737,-223,"absent"
"635","1",82,1,941,-19," easy"
"636","1",82,2,970,10," easy"
"637","1",82,3,1114,154," easy"
"638","1",82,4,1156,196," easy"
"639","1",83,1,954,-6,"absent"
"640","1",83,2,998,38,"absent"
"641","1",83,3,1081,121,"absent"
"642","1",83,4,735,-225,"absent"
"643","1",83,5,647,-313,"absent"
"644","1",83,6,738,-222,"absent"
"645","1",83,7,597,-363,"absent"
"646","1",83,8,848,-112,"absent"
"647","1",83,9,797,-163,"absent"
"648","1",83,10,816,-144,"absent"
"649","1",84,1,943,17," easy"
"650","1",84,2,871,89," easy"
"651","1",84,3,561,399," easy"
"652","1",84,4,542,418," easy"
"653","1",85,1,943,17," easy"
"654","1",85,2,941,19," easy"
"655","1",85,3,745,215," easy"
"656","1",86,1,939,21," hard"
"657","1",86,2,950,10," hard"
"658","1",86,3,804,156," hard"
"659","1",86,4,1220,-260," hard"
"660","1",86,5,542,418," hard"
"661","1",86,6,1282,-322," hard"
"662","1",86,7,1075,-115," hard"
"663","1",86,8,1370,-410," hard"
"664","1",87,1,948,-12,"absent"
"665","1",87,2,958,-2,"absent"
"666","1",87,3,544,-416,"absent"
"667","1",87,4,701,-259,"absent"
"668","1",87,5,564,-396,"absent"
"669","1",87,6,458,-502,"absent"
"670","1",87,7,1224,264,"absent"
"671","1",87,8,1334,374,"absent"
"672","1",87,9,844,-116,"absent"
"673","1",88,1,944,-16," easy"
"674","1",88,2,1228,268," easy"
"675","1",88,3,1196,236," easy"
"676","1",89,1,954,-6," hard"
"677","1",89,2,855,-105," hard"
"678","1",89,3,797,-163," hard"
"679","1",89,4,752,-208," hard"
"680","1",90,1,948,12," hard"
"681","1",90,2,784,176," hard"
"682","1",90,3,1098,-138," hard"
"683","1",90,4,1368,-408," hard"
"684","1",90,5,1007,-47," hard"
"685","1",90,6,1126,-166," hard"
"686","1",91,1,947,13," easy"
"687","1",91,2,895,65," easy"
"688","1",91,3,523,437," easy"
"689","1",92,1,949,-11,"absent"
"690","1",92,2,631,-329,"absent"
"691","1",92,3,875,-85,"absent"
"692","1",92,4,1151,191,"absent"
"693","1",92,5,913,-47,"absent"
"694","1",92,6,1027,67,"absent"
"695","1",92,7,871,-89,"absent"
"696","1",92,8,1227,267,"absent"
"697","1",92,9,827,-133,"absent"
"698","1",92,10,757,-203,"absent"
"699","1",92,11,778,-182,"absent"
"700","1",92,12,1104,144,"absent"
"701","1",92,13,1292,332,"absent"
"702","1",92,14,1214,254,"absent"
"703","1",92,15,709,-251,"absent"
"704","1",92,16,465,-495,"absent"
"705","1",92,17,474,-486,"absent"
"706","1",93,1,948,12," hard"
"707","1",93,2,975,-15," hard"
"708","1",93,3,1111,-151," hard"
"709","1",93,4,1144,-184," hard"
"710","1",93,5,1119,-159," hard"
"711","1",93,6,1134,-174," hard"
"712","1",94,1,947,13,"absent"
"713","1",94,2,1011,-51,"absent"
"714","1",94,3,643,317,"absent"
"715","1",94,4,972,-12,"absent"
"716","1",94,5,1045,-85,"absent"
"717","1",94,6,962,-2,"absent"
"718","1",94,7,1303,-343,"absent"
"719","1",94,8,1056,-96,"absent"
"720","1",95,1,941,19," easy"
"721","1",95,2,582,378," easy"
"722","1",95,3,1287,-327," easy"
"723","1",95,4,1311,-351," easy"
"724","1",95,5,466,494," easy"
"725","1",96,1,951,9," hard"
"726","1",96,2,817,143," hard"
"727","1",96,3,963,-3," hard"
"728","1",96,4,819,141," hard"
"729","1",96,5,458,502," hard"
"730","1",96,6,1065,-105," hard"
"731","1",96,7,1123,-163," hard"
"732","1",96,8,998,-38," hard"
"733","1",96,9,1318,-358," hard"
"734","1",96,10,1017,-57," hard"
"735","1",96,11,1005,-45," hard"
"736","2",17,1,960,0," hard"
"737","2",17,2,860,-100," hard"
"738","2",17,3,903,-57," hard"
"739","2",17,4,622,-338," hard"
"740","2",18,1,934,-26," hard"
