"condition","subj","trialNum","fixNo","xFix","xFixFlip","yFix","targSide","easySide","accuracy","RT","targetPre","trialType"
"163","tex",1,32,12,515,-445,300,"absent"," right",1,8.461,"absent","half"
"164","tex",1,32,13,545,-415,356,"absent"," right",1,8.461,"absent","half"
"165","tex",1,32,14,707,-253,564,"absent"," right",1,8.461,"absent","half"
"166","tex",1,32,15,678,-282,556,"absent"," right",1,8.461,"absent","half"
"167","tex",1,32,16,888,-72,700,"absent"," right",1,8.461,"absent","half"
"168","tex",1,32,17,1119,159,800,"absent"," right",1,8.461,"absent","half"
"169","tex",1,32,18,841,-119,870,"absent"," right",1,8.461,"absent","half"
"170","tex",1,32,19,654,-306,893,"absent"," right",1,8.461,"absent","half"
"171","tex",1,32,20,1386,426,927,"absent"," right",1,8.461,"absent","half"
"172","tex",1,32,21,1406,446,513,"absent"," right",1,8.461,"absent","half"
"173","tex",1,32,22,1250,290,474,"absent"," right",1,8.461,"absent","half"
"174","tex",1,32,23,1004,44,265,"absent"," right",1,8.461,"absent","half"
"175","tex",1,32,24,1062,102,343,"absent"," right",1,8.461,"absent","half"
"176","tex",1,32,25,599,-361,259,"absent"," right",1,8.461,"absent","half"
"177","tex",1,32,26,752,-208,349,"absent"," right",1,8.461,"absent","half"
"178","tex",1,32,27,889,-71,493,"absent"," right",1,8.461,"absent","half"
"179","tex",1,32,28,852,-108,460,"absent"," right",1,8.461,"absent","half"
"180","tex",1,32,29,1204,244,451,"absent"," right",1,8.461,"absent","half"
"181","tex",1,32,30,1111,151,461,"absent"," right",1,8.461,"absent","half"
"182","tex",1,32,31,959,-1,783,"absent"," right",1,8.461,"absent","half"
"183","tex",1,32,32,597,-363,907,"absent"," right",1,8.461,"absent","half"
"184","tex",1,32,33,857,-103,941,"absent"," right",1,8.461,"absent","half"
"185","tex",1,33,1,956,4,562,"absent"," left",1,4.466,"absent","half"
"186","tex",1,33,2,1051,-91,448,"absent"," left",1,4.466,"absent","half"
"187","tex",1,33,3,1086,-126,316,"absent"," left",1,4.466,"absent","half"
"188","tex",1,33,4,492,468,585,"absent"," left",1,4.466,"absent","half"
"189","tex",1,33,5,443,517,532,"absent"," left",1,4.466,"absent","half"
"190","tex",1,33,6,963,-3,728,"absent"," left",1,4.466,"absent","half"
"191","tex",1,33,7,1167,-207,919,"absent"," left",1,4.466,"absent","half"
"192","tex",1,33,8,1164,-204,785,"absent"," left",1,4.466,"absent","half"
"193","tex",1,33,9,1095,-135,691,"absent"," left",1,4.466,"absent","half"
"194","tex",1,33,10,1035,-75,673,"absent"," left",1,4.466,"absent","half"
"195","tex",1,33,11,1042,-82,699,"absent"," left",1,4.466,"absent","half"
"196","tex",1,33,12,499,461,845,"absent"," left",1,4.466,"absent","half"
"197","tex",1,33,13,644,316,910,"absent"," left",1,4.466,"absent","half"
"198","tex",1,33,14,828,132,275,"absent"," left",1,4.466,"absent","half"
"199","tex",1,33,15,735,225,296,"absent"," left",1,4.466,"absent","half"
"200","tex",1,33,16,645,315,258,"absent"," left",1,4.466,"absent","half"
"201","tex",1,33,17,1125,-165,376,"absent"," left",1,4.466,"absent","half"
"202","tex",1,34,1,944,-16,535,"absent"," right",1,4.77,"absent","half"
"203","tex",1,34,2,874,-86,523,"absent"," right",1,4.77,"absent","half"
"204","tex",1,34,3,796,-164,497,"absent"," right",1,4.77,"absent","half"
"205","tex",1,34,4,500,-460,616,"absent"," right",1,4.77,"absent","half"
"206","tex",1,34,5,503,-457,755,"absent"," right",1,4.77,"absent","half"
"207","tex",1,34,6,506,-454,866,"absent"," right",1,4.77,"absent","half"
"208","tex",1,34,7,520,-440,851,"absent"," right",1,4.77,"absent","half"
"209","tex",1,34,8,1001,41,831,"absent"," right",1,4.77,"absent","half"
"210","tex",1,34,9,1293,333,849,"absent"," right",1,4.77,"absent","half"
"211","tex",1,34,10,1448,488,838,"absent"," right",1,4.77,"absent","half"
"212","tex",1,34,11,938,-22,847,"absent"," right",1,4.77,"absent","half"
"213","tex",1,34,12,912,-48,377,"absent"," right",1,4.77,"absent","half"
"214","tex",1,34,13,756,-204,346,"absent"," right",1,4.77,"absent","half"
"215","tex",1,34,14,725,-235,436,"absent"," right",1,4.77,"absent","half"
"216","tex",1,34,15,658,-302,484,"absent"," right",1,4.77,"absent","half"
"217","tex",1,34,16,465,-495,221,"absent"," right",1,4.77,"absent","half"
"218","tex",1,34,17,1205,245,411,"absent"," right",1,4.77,"absent","half"
"219","tex",1,34,18,1099,139,461,"absent"," right",1,4.77,"absent","half"
"220","tex",1,35,1,952,-8,546,"absent"," right",1,4.832,"absent","half"
"221","tex",1,35,2,846,-114,528,"absent"," right",1,4.832,"absent","half"
"222","tex",1,35,3,1026,66,833,"absent"," right",1,4.832,"absent","half"
"223","tex",1,35,4,1099,139,815,"absent"," right",1,4.832,"absent","half"
"224","tex",1,35,5,732,-228,739,"absent"," right",1,4.832,"absent","half"
"225","tex",1,35,6,1023,63,829,"absent"," right",1,4.832,"absent","half"
"226","tex",1,35,7,1053,93,852,"absent"," right",1,4.832,"absent","half"
"227","tex",1,35,8,988,28,774,"absent"," right",1,4.832,"absent","half"
"228","tex",1,35,9,661,-299,753,"absent"," right",1,4.832,"absent","half"
"229","tex",1,35,10,600,-360,442,"absent"," right",1,4.832,"absent","half"
"230","tex",1,35,11,981,21,251,"absent"," right",1,4.832,"absent","half"
"231","tex",1,35,12,939,-21,357,"absent"," right",1,4.832,"absent","half"
"232","tex",1,35,13,909,-51,364,"absent"," right",1,4.832,"absent","half"
"233","tex",1,35,14,879,-81,370,"absent"," right",1,4.832,"absent","half"
"234","tex",1,35,15,584,-376,403,"absent"," right",1,4.832,"absent","half"
"235","tex",1,35,16,650,-310,602,"absent"," right",1,4.832,"absent","half"
"236","tex",1,35,17,557,-403,262,"absent"," right",1,4.832,"absent","half"
"237","tex",1,36,1,953,-7,549,"absent"," right",1,6.29,"absent","half"
"238","tex",1,36,2,817,-143,614,"absent"," right",1,6.29,"absent","half"
"239","tex",1,36,3,560,-400,531,"absent"," right",1,6.29,"absent","half"
"240","tex",1,36,4,844,-116,747,"absent"," right",1,6.29,"absent","half"
"241","tex",1,36,5,1257,297,885,"absent"," right",1,6.29,"absent","half"
"242","tex",1,36,6,1003,43,875,"absent"," right",1,6.29,"absent","half"
"243","tex",1,36,7,870,-90,701,"absent"," right",1,6.29,"absent","half"
"244","tex",1,36,8,707,-253,948,"absent"," right",1,6.29,"absent","half"
"245","tex",1,36,9,479,-481,925,"absent"," right",1,6.29,"absent","half"
"246","tex",1,36,10,854,-106,719,"absent"," right",1,6.29,"absent","half"
"247","tex",1,36,11,770,-190,727,"absent"," right",1,6.29,"absent","half"
"248","tex",1,36,12,1154,194,694,"absent"," right",1,6.29,"absent","half"
"249","tex",1,36,13,1169,209,346,"absent"," right",1,6.29,"absent","half"
"250","tex",1,36,14,1006,46,438,"absent"," right",1,6.29,"absent","half"
"251","tex",1,36,15,775,-185,423,"absent"," right",1,6.29,"absent","half"
"252","tex",1,36,16,822,-138,482,"absent"," right",1,6.29,"absent","half"
"253","tex",1,36,17,638,-322,430,"absent"," right",1,6.29,"absent","half"
"254","tex",1,36,18,570,-390,362,"absent"," right",1,6.29,"absent","half"
"255","tex",1,36,19,531,-429,326,"absent"," right",1,6.29,"absent","half"
"256","tex",1,36,20,488,-472,307,"absent"," right",1,6.29,"absent","half"
"257","tex",1,36,21,762,-198,337,"absent"," right",1,6.29,"absent","half"
"258","tex",1,36,22,670,-290,371,"absent"," right",1,6.29,"absent","half"
"259","tex",1,37,1,922,-38,519,"absent"," right",1,6.47,"absent","half"
"260","tex",1,37,2,841,-119,505,"absent"," right",1,6.47,"absent","half"
"261","tex",1,37,3,564,-396,557,"absent"," right",1,6.47,"absent","half"
"262","tex",1,37,4,610,-350,371,"absent"," right",1,6.47,"absent","half"
"263","tex",1,37,5,577,-383,601,"absent"," right",1,6.47,"absent","half"
"264","tex",1,37,6,1081,121,548,"absent"," right",1,6.47,"absent","half"
"265","tex",1,37,7,970,10,584,"absent"," right",1,6.47,"absent","half"
"266","tex",1,37,8,937,-23,551,"absent"," right",1,6.47,"absent","half"
"267","tex",1,37,9,944,-16,655,"absent"," right",1,6.47,"absent","half"
"268","tex",1,37,10,1077,117,645,"absent"," right",1,6.47,"absent","half"
"269","tex",1,37,11,875,-85,610,"absent"," right",1,6.47,"absent","half"
"270","tex",1,37,12,719,-241,580,"absent"," right",1,6.47,"absent","half"
"271","tex",1,37,13,773,-187,640,"absent"," right",1,6.47,"absent","half"
"272","tex",1,37,14,938,-22,560,"absent"," right",1,6.47,"absent","half"
"273","tex",1,37,15,1281,321,659,"absent"," right",1,6.47,"absent","half"
"274","tex",1,37,16,1146,186,672,"absent"," right",1,6.47,"absent","half"
"275","tex",1,37,17,1047,87,794,"absent"," right",1,6.47,"absent","half"
"276","tex",1,37,18,823,-137,758,"absent"," right",1,6.47,"absent","half"
"277","tex",1,38,1,949,-11,560,"absent"," right",1,5.4,"absent","half"
"278","tex",1,38,2,848,-112,644,"absent"," right",1,5.4,"absent","half"
"279","tex",1,38,3,674,-286,555,"absent"," right",1,5.4,"absent","half"
"280","tex",1,38,4,576,-384,492,"absent"," right",1,5.4,"absent","half"
"281","tex",1,38,5,595,-365,279,"absent"," right",1,5.4,"absent","half"
"282","tex",1,38,6,1040,80,318,"absent"," right",1,5.4,"absent","half"
"283","tex",1,38,7,1158,198,555,"absent"," right",1,5.4,"absent","half"
"284","tex",1,38,8,1210,250,831,"absent"," right",1,5.4,"absent","half"
"285","tex",1,38,9,650,-310,891,"absent"," right",1,5.4,"absent","half"
"286","tex",1,38,10,1283,323,615,"absent"," right",1,5.4,"absent","half"
"287","tex",1,38,11,1240,280,605,"absent"," right",1,5.4,"absent","half"
"288","tex",1,38,12,744,-216,891,"absent"," right",1,5.4,"absent","half"
"289","tex",1,38,13,584,-376,897,"absent"," right",1,5.4,"absent","half"
"290","tex",1,38,14,481,-479,921,"absent"," right",1,5.4,"absent","half"
"291","tex",1,38,15,865,-95,418,"absent"," right",1,5.4,"absent","half"
"292","tex",1,38,16,730,-230,365,"absent"," right",1,5.4,"absent","half"
"293","tex",1,38,17,545,-415,273,"absent"," right",1,5.4,"absent","half"
"294","tex",1,38,18,857,-103,205,"absent"," right",1,5.4,"absent","half"
"295","tex",1,39,1,963,-3,512,"absent"," left",1,4.277,"absent","half"
"296","tex",1,39,2,804,156,525,"absent"," left",1,4.277,"absent","half"
"297","tex",1,39,3,516,444,563,"absent"," left",1,4.277,"absent","half"
"298","tex",1,39,4,1022,-62,594,"absent"," left",1,4.277,"absent","half"
"299","tex",1,39,5,1224,-264,783,"absent"," left",1,4.277,"absent","half"
"300","tex",1,39,6,1156,-196,886,"absent"," left",1,4.277,"absent","half"
"301","tex",1,39,7,1184,-224,923,"absent"," left",1,4.277,"absent","half"
"302","tex",1,39,8,1270,-310,360,"absent"," left",1,4.277,"absent","half"
"303","tex",1,39,9,1117,-157,322,"absent"," left",1,4.277,"absent","half"
"304","tex",1,39,10,1244,-284,426,"absent"," left",1,4.277,"absent","half"
"305","tex",1,39,11,1128,-168,998,"absent"," left",1,4.277,"absent","half"
"306","tex",1,39,12,1126,-166,913,"absent"," left",1,4.277,"absent","half"
"307","tex",1,39,13,1327,-367,939,"absent"," left",1,4.277,"absent","half"
"308","tex",1,39,14,1108,-148,866,"absent"," left",1,4.277,"absent","half"
"309","tex",1,39,15,644,316,380,"absent"," left",1,4.277,"absent","half"
"310","tex",1,39,16,588,372,352,"absent"," left",1,4.277,"absent","half"
"311","tex",1,39,17,544,416,643,"absent"," left",1,4.277,"absent","half"
"312","tex",1,40,1,950,-10,546," hard"," right",1,1.381,"present","half"
"313","tex",1,40,2,956,-4,545," hard"," right",1,1.381,"present","half"
"314","tex",1,40,3,872,-88,549," hard"," right",1,1.381,"present","half"
"315","tex",1,40,4,768,-192,473," hard"," right",1,1.381,"present","half"
"316","tex",1,40,5,507,-453,550," hard"," right",1,1.381,"present","half"
"317","tex",1,41,1,726,234,588," easy"," left",1,0.687,"present","half"
"318","tex",1,41,2,669,291,561," easy"," left",1,0.687,"present","half"
"319","tex",1,42,1,637,-323,563," hard"," right",1,0.904,"present","half"
"320","tex",1,42,2,743,-217,572," hard"," right",1,0.904,"present","half"
"321","tex",1,42,3,785,-175,369," hard"," right",1,0.904,"present","half"
"322","tex",1,42,4,765,-195,352," hard"," right",1,0.904,"present","half"
"323","tex",1,43,1,751,209,484,"absent"," left",1,4.66,"absent","half"
"324","tex",1,43,2,965,-5,501,"absent"," left",1,4.66,"absent","half"
"325","tex",1,43,3,1221,-261,521,"absent"," left",1,4.66,"absent","half"
"326","tex",1,43,4,1222,-262,471,"absent"," left",1,4.66,"absent","half"
"327","tex",1,43,5,1290,-330,794,"absent"," left",1,4.66,"absent","half"
"328","tex",1,43,6,1270,-310,723,"absent"," left",1,4.66,"absent","half"
"329","tex",1,43,7,1366,-406,964,"absent"," left",1,4.66,"absent","half"
"330","tex",1,43,8,1379,-419,945,"absent"," left",1,4.66,"absent","half"
"331","tex",1,43,9,592,368,913,"absent"," left",1,4.66,"absent","half"
"332","tex",1,43,10,452,508,913,"absent"," left",1,4.66,"absent","half"
"333","tex",1,43,11,579,381,404,"absent"," left",1,4.66,"absent","half"
"334","tex",1,43,12,749,211,578,"absent"," left",1,4.66,"absent","half"
"335","tex",1,43,13,552,408,470,"absent"," left",1,4.66,"absent","half"
"336","tex",1,43,14,469,491,454,"absent"," left",1,4.66,"absent","half"
"337","tex",1,43,15,1214,-254,292,"absent"," left",1,4.66,"absent","half"
"338","tex",1,43,16,1070,-110,277,"absent"," left",1,4.66,"absent","half"
"339","tex",1,43,17,1054,-94,296,"absent"," left",1,4.66,"absent","half"
"340","tex",1,44,1,948,-12,540,"absent"," right",1,3.62,"absent","half"
"341","tex",1,44,2,965,5,527,"absent"," right",1,3.62,"absent","half"
"342","tex",1,44,3,816,-144,607,"absent"," right",1,3.62,"absent","half"
"343","tex",1,44,4,497,-463,494,"absent"," right",1,3.62,"absent","half"
"344","tex",1,44,5,717,-243,797,"absent"," right",1,3.62,"absent","half"
"345","tex",1,44,6,1108,148,914,"absent"," right",1,3.62,"absent","half"
"346","tex",1,44,7,1192,232,889,"absent"," right",1,3.62,"absent","half"
"347","tex",1,44,8,1253,293,437,"absent"," right",1,3.62,"absent","half"
"348","tex",1,44,9,1089,129,361,"absent"," right",1,3.62,"absent","half"
"349","tex",1,44,10,796,-164,330,"absent"," right",1,3.62,"absent","half"
"350","tex",1,44,11,779,-181,542,"absent"," right",1,3.62,"absent","half"
"351","tex",1,44,12,801,-159,593,"absent"," right",1,3.62,"absent","half"
"352","tex",1,45,1,954,6,547,"absent"," left",1,3.573,"absent","half"
